lift,drag,mach,aoa
0.757852920911579,-0.0017706698035702684,0.335,0.4
0.8791870674432984,-0.002061997224192258,0.36,0.4
1.0104622555478864,-0.0023809107556354014,0.385,0.4
1.1519985911983555,-0.0027275878494403827,0.41,0.4
1.3041499351542671,-0.003104471158318023,0.435,0.4
1.4672776579111249,-0.0035131765648807045,0.46,0.4
1.6417948342406128,-0.003955888749742398,0.485,0.4
1.828159973586241,-0.004434771970139861,0.51,0.4
2.026854586397613,-0.004952480902378209,0.535,0.4
2.238510154218403,-0.0055122168319821085,0.56,0.4
2.463754126193353,-0.0061175926956442694,0.585,0.4
2.703304918737103,-0.00677264837557412,0.61,0.4
2.9580175809532854,-0.007481411740524635,0.635,0.4
3.228774390352918,-0.0082488781321981,0.66,0.4
3.516503128709274,-0.009083469044653514,0.685,0.4
3.822612242706525,-0.009989611730213177,0.71,0.4
4.148392643985715,-0.010976185803525773,0.735,0.4
4.495465428025303,-0.012054439413009543,0.76,0.4
4.876641259558888,-0.013297542010052066,0.785,0.4
5.322531281326157,-0.014887247265539916,0.81,0.4
5.837699499458047,-0.01687559121628457,0.835,0.4
6.424124169521024,-0.019277569767186087,0.86,0.4
6.980266439726437,-0.021466803141942492,0.885,0.4
7.5867131461770105,-0.023930864980412636,0.91,0.4
8.25430483620789,-0.02669812567657104,0.935,0.4
8.98341128970918,-0.029755647399657192,0.96,0.4
9.773612511504668,-0.03307144205592394,0.985,0.4
10.623597134389458,-0.03659049101263889,1.01,0.4
11.531052224613534,-0.04023929647568636,1.035,0.4
12.492753940084853,-0.043886700461246875,1.06,0.4
13.50449069649831,-0.04744689535840152,1.085,0.4
14.560453894648642,-0.051068637683250984,1.11,0.4
15.654289954439811,-0.05472495237949815,1.135,0.4
15.783655373506654,-0.05265349923262619,1.16,0.4
14.922758964935479,-0.04601168822270907,1.185,0.4
14.58413928284882,-0.04319637754708694,1.21,0.4
14.349321207674343,-0.041295491522504335,1.235,0.4
14.158311643104721,-0.03982369873690672,1.26,0.4
14.005443469831542,-0.038696600405849324,1.285,0.4
13.882259367807496,-0.03779406893922399,1.31,0.4
13.79065460292099,-0.037063771833000914,1.335,0.4
13.738701766013069,-0.03669352272317994,1.36,0.4
13.716519905726347,-0.03649416093040969,1.385,0.4
13.716523355334473,-0.03637559198446638,1.41,0.4
13.73463557765459,-0.03632363638238445,1.435,0.4
13.76899393021545,-0.03632635163251052,1.46,0.4
13.816562095993596,-0.03637928417803238,1.485,0.4
0.0006206090731127704,-1.9443939475276284e-6,0.01,0.5
0.01000073535312419,-2.77973346529993e-5,0.035,0.5
0.029552562298738032,-8.345523262487387e-5,0.06,0.5
0.059377211616822065,-0.00016894562788902223,0.085,0.5
0.09952400548781498,-0.0002836032413510853,0.11,0.5
0.15024985431959187,-0.00042712445465163673,0.135,0.5
0.21142257354910665,-0.0006019191397294843,0.16,0.5
0.2832488476551305,-0.0008080147975624286,0.185,0.5
0.36584428909586836,-0.0010456842058503002,0.21,0.5
0.45930239291717395,-0.0013167683565291077,0.235,0.5
0.5639668095128507,-0.0016210762827121306,0.26,0.5
0.6799794523280258,-0.0019606953835333285,0.285,0.5
0.8075502702925861,-0.00233639045057471,0.31,0.5
0.9469609755983156,-0.002750412765730459,0.335,0.5
1.0984950740603727,-0.003203798249499401,0.36,0.5
1.2625037481623942,-0.003699276535318874,0.385,0.5
1.4393352947301878,-0.004238312941287958,0.41,0.5
1.6294238608260985,-0.004824098320042602,0.435,0.5
1.8332247521622296,-0.005459332449332055,0.46,0.5
2.051254873060407,-0.00614731439771099,0.485,0.5
